"Source:","C:\MyProjects\_HFS700\Mod2Arinc\Mod2ArincProject\Mod2Arinc.kicad_sch"
"Date:","12/11/2023 20:13:35"
"Tool:","Eeschema 7.0.7"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","104"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Field4","Sim.Device","Sim.Pins"
"1","2","C1, C2","22p","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","",""
"2","3","C3, C4, C7","10u","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","","50V","",""
"3","9","C5, C6, C8, C9, C11, C12, C13, C20, C21","u1","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~","","","",""
"4","1","C10","1u","Device:C","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","~","","50V","",""
"5","4","C14, C15, C16, C17","470p","Device:C","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~","","","",""
"6","2","C18, C19","100u","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","~","","","",""
"7","2","D1, D2","1N4148","Device:D_Filled","Diode_THT:D_DO-35_SOD27_P10.16mm_Horizontal","~","","","D","1=K 2=A"
"8","1","D3","AMBER","Device:LED_Filled","LED_THT:LED_D5.0mm","~","","","",""
"9","1","D4","GREEN","Device:LED_Filled","LED_THT:LED_D5.0mm","~","","","",""
"10","2","F1, F2","Fuse","Device:Fuse","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","~","","","",""
"11","2","FID1, FID2","Fiducial","Mechanical:Fiducial","Fiducial:Fiducial_1mm_Mask2mm","~","","","",""
"12","6","H1, H2, H3, H4, H5, H6","3.2","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_TopBottom","~","","","",""
"13","1","J1","514A","Connector:Conn_01x06_Pin","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_6-G-3.81_1x06_P3.81mm_Vertical","~","","","",""
"14","1","J2","SUPPLY","Connector:Conn_01x06_Pin","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_6-G-3.81_1x06_P3.81mm_Vertical","~","","","",""
"15","1","J3","SERIAL","Connector:Conn_01x06_Pin","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","","","",""
"16","1","J4","TEST","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x05_P2.54mm_Vertical","~","","","",""
"17","1","J5","HFS-700","Connector:Conn_01x06_Pin","Connector_Phoenix_MC:PhoenixContact_MCV_1,5_6-G-3.81_1x06_P3.81mm_Vertical","~","","","",""
